ex1_226.qasm ['ilhogu6x', '3uvwv40d', '3jinnvx6', '2o8y4xah', '22kpeg7h', '1ydqeotj', '1n8gau5p', 'z2t4temu', 'xxvs743j', '34t5arki', '2teeeskj', '2nw94mdf', '23kfsk71', '1hqq0n09', '19lx20zo', '181nrtm4']
graycode6_47.qasm ['eju0ax9u', '3h5hhi95', '39ok4rqn', '35z4aruf', '2geepla6', '234m0pzz', '1t5hsl9g', '11kfeb2f', 'lcwn1u4h', '3tcem816', '3t0g0wur', '3ogwnqwz', '3llrmjx9', '3jsnhzva', '1pbv70ai', '166ecyxz']
xor5_254.qasm ['kz0691do', 'cx79n4zu', '724u71lk', '38kq2q07', '36vq3iyq', '2rav7qps', '2jsam3tv', '1o384a6k', '35nlefuw', '25sui40s', '1rif0ogo', '1jwn66j4', '1id3zxyp', '1hsh0zc1', '1a8obegc', '1479r5qr']
4gt11_84.qasm ['dekrx9b1', '9o31nhg2', '3v9dxkif', '3o68s080', '39htvg7y', '2fdsf3ac', '1zumim37', '16qi0z59', 'ldzp8af4', 'kxw1a3yw', '7gv8oo0u', '3f9znqsl', '2p1ado5l', '2mp9xki4', '2784b1bs', '1qaxeuag']
ex-1_166.qasm ['ex2qb5x1', 'b0az4r23', '3kqkah2h', '38xoqbiu', '2tx9s4na', '1zl3krdh', '1a9424od', '18osn5ww', 'ye3titqj', 'bm31pgc6', '3kg8iu92', '2tpdlnyc', '2h3qersn', '2fgwzef3', '1repk2zm', '1boqjuxv']
4mod5-v0_20.qasm ['wm1qv7s6', '3iz51zyy', '3bfo40dh', '39l3sv2w', '31bzsndu', '2yb2tnz6', '2232gdmy', '1jlhvxjo', 'xu2vlxbv', 'rv4d32vr', 'ouww8aaa', 'bufx0dtc', '3sp27ecv', '2o1z0ea0', '2a3lo1cq', '1mn9bdzr']
4mod5-v1_22.qasm ['ziok6gt5', '3b2rramt', '32thbtad', '32ipjor6', '2kklpls2', '2163z6yc', '1xbkyege', '13xcunx0', '3gc2mvy3', '3e9nvtww', '3e8dap05', '3avyp4en', '290slvg0', '2446oug7', '1w8zwrin', '1haz6zef']
ham3_102.qasm ['vgdppo38', 'k9cv82cl', 'hzesyags', '3ozmfqhb', '3mbif35p', '3by4jlme', '2vj2ap8o', '25tcye3h', 'zh8vu9nl', 'rfsnaoqv', 'qbhqqq6m', 'j6zdhxgq', '3d6a0tea', '3brv17m9', '37kwg9wz', '1pl2q8w1']
mod5d1_63.qasm ['zat4f6ug', '3tmo5pw1', '33krq0jd', '2q3cfybd', '27ip2nr5', '1riypjty', '1p1prlyf', '1bzg5yee', 'q13v5suk', 'pfzz7l5v', 'hfcaw6z3', '3v4e2dup', '3kcfta0y', '36bi33tq', '1n90l1zr', '1iehdmka']
4gt11_83.qasm ['yxtsrzyg', 'wkiph8v0', 'gybshux7', '3vtzb7tu', '3qyasvbs', '3hsi1n53', '3hgu6e1d', '3gpg92li', '2r62ywki', '21iavp6c', '1n8ghabt', '1mb3db95', '1bz0pc91', '18kuizc7', '13tysic5', '117g5asm']
4mod5-v0_19.qasm ['3j6uaofz', '2vno47mh', '219ekkm9', '1svlc9wz', '1kj012eb', '1a4h3epp', '19kz85w9', '19gho765', 'y74jkrwe', 'tf40kdni', 'eek6nkrg', 'ck3m9js0', 'c3tl9u01', '2e6a4uyj', '29jzcqmo', '1csf6w42']
4mod5-v1_24.qasm ['om40cp0s', 'htpxujp5', '3p6v23gv', '3nius07y', '3j7m1mvt', '3c3b4tc6', '2wq9ntwo', '2uwn36qa', '2m1z1qqy', '2hxsxg21', '27faiqaz', '26nhr7ft', '22bwcvcn', '1rrx6wtt', '1pkiwkfw', '13pft4wo']
mod5mils_65.qasm ['ya47omlj', 'b27yut1e', '3jqd0kn8', '3axywl27', '2v724g0a', '2ios356o', '1ra2gp3u', '6uib181r', '3pepomg6', '3jl4gvg7', '3c0ttweh', '1wk7qapn', '1qqn1n1t', '1psa3ika', '192yp83b', '12a09iwl']
rd32-v0_66.qasm ['vcjllmu5', '3qlhv78t', '3efh1esn', '2rfihgiw', '1ne16dos', '1jtivqn7', '1fl9pyy4', '1bw4f5ks', 'vxy7uwpg', '3oksc00w', '338bloyt', '2fcm85kb', '29ny08g7', '217e7dxn', '1afu8tl5', '11smxksn']
rd32-v1_68.qasm ['kaa6mr4t', '7k21i92x', '3rdw1ol1', '3lyo8eji', '3hiz7sak', '2vpcr5pp', '1l7o7iyb', '1e4qjf0z', 'u7bo5nge', '3b8bal9q', '31qk7v0b', '314wxpk7', '2hjwq4fq', '20gnpjuh', '1dgq2jcr', '141t09l1']
3_17_13.qasm ['wzj4uza8', 's2slsoo6', 'hur39n0y', '3opr7gqh', '3dargtwg', '31zspir0', '26insb5q', '1zufx0rd', 'yobdnlcu', 'kip6rhrs', 'dy3zyg8u', '3tlg2h8h', '38h9mgu4', '2tzubxvu', '2gpyuqp9', '10dk68vg']
alu-v0_27.qasm ['3imdj85d', '32gxxbk5', '2u09ibmi', '2slh78ut', '2bguqgkx', '1bzior32', '1awxh8si', '11r0feby', 'khi9212w', '3sp1n88q', '368856ns', '2iaac0zs', '1zqprvre', '1s1w7uhc', '1bm20lpg', '16p154fm']
alu-v1_29.qasm ['pxptnfb9', 'e90wpdzz', '37m319lo', '2u06qgy2', '2rto9za8', '1jksrg2w', '3edlbly3', '2dodvqft', 'grles27s', '3aqdxzzy', '2yyry9sz', '2wu3ah6r', '2bq7lg53', '23fkke02', '1e85xecl', '3hwdfrhv']
alu-v2_33.qasm ['r92aff0d', 'jui3og6g', 'ir5vfjis', '41qvd0sp', '3qn30zil', '3mih4qvy', '3ffk2t8e', '3abqebak', '38dkodsr', '374zhiug', '293reums', '27qme4uo', '1qtv5up0', '1ozu6r09', '1j65inqj', '1gyncb1l']
4gt11_82.qasm ['wyhcc4sk', 'ivzr995a', '964e4hqt', '3u9a5qw7', '3qy5azmy', '3k46xi7z', '3ff65r4t', '3521krg7', '32367tqn', '2bntpgfk', '290strqp', '259gmqaq', '1w8fp1x3', '1mvzbhlt', '1iwsb5f6', '1b2c3tqn']
alu-v1_28.qasm ['wv3sdywv', 'uq75q64w', '3fkoi6f3', '2hz3oc21', '216dlxzs', '1te6fy4t', '1mb5egyh', '1c2sew22', 'bzxsst3m', '7tzwezer', '3m1hjutk', '30oern8h', '2m4q1d5g', '2l58p9kf', '1ziq5nf2', '13git7b3']
alu-v3_35.qasm ['ujpblix7', 'le08y149', 'bov9kqdp', '3f1ytr7v', '20k0dma9', '1fjb0egu', '1afovzmi', 'ixzm1zoa', 'i07rpmro', 'd2lfhgcp', '70xnooy0', '2gdmk35s', '2cssyx42', '1rf8booc', '1mr2cdsn', '1jcrn0di']
alu-v4_37.qasm ['ya6zdfg5', 'szlhedlg', '3te9isj1', '35knj9jx', '2t91edkm', '292sqwt9', '1rlt43hd', '11ufw1dm', '3nqwtv2j', '38vr6sqb', '33qzwram', '2v3xym6u', '1p47eq7v', '1l5d0119', '1b0sifzn', '14p8g7x1']
